genotype	allelic_ratio
het	0.0
het	0.5714285714285714
het	0.6470588235294118
het	0.45
het	0.46153846153846156
het	0.6451612903225806
het	0.7142857142857143
het	0.38095238095238093
het	0.7272727272727273
het	0.5555555555555556
het	0.4
het	0.9285714285714286
het	0.2727272727272727
het	0.5333333333333333
het	0.07692307692307693
het	0.5
het	0.5454545454545454
het	0.8181818181818182
het	0.2857142857142857
het	0.5625
het	0.18181818181818182
het	0.4
het	0.3333333333333333
het	0.46153846153846156
het	0.0
het	0.6
het	0.4166666666666667
het	0.4
het	0.625
het	0.6666666666666666
het	0.42105263157894735
het	0.7647058823529411
het	0.5333333333333333
het	0.6
het	0.8214285714285714
het	0.5833333333333334
het	0.5833333333333334
het	0.5
het	0.6190476190476191
het	0.7272727272727273
het	0.6363636363636364
het	0.47058823529411764
het	0.6923076923076923
het	0.15384615384615385
het	0.7
het	0.6
het	0.4
het	0.6666666666666666
het	0.5454545454545454
het	0.7857142857142857
het	0.45454545454545453
het	0.2727272727272727
het	0.7142857142857143
het	0.5
het	0.6111111111111112
het	0.4782608695652174
het	0.35714285714285715
het	0.5833333333333334
het	0.4915254237288136
het	0.56
het	0.36363636363636365
het	0.4
het	0.3125
het	0.55
het	0.8333333333333334
het	0.8
het	0.6190476190476191
het	0.0
het	0.05263157894736842
het	0.5384615384615384
het	0.5333333333333333
het	0.55
het	0.9
het	0.4482758620689655
het	0.058823529411764705
het	0.5
het	0.6428571428571429
het	0.75
het	0.7142857142857143
het	0.5142857142857142
het	0.5
het	0.2
het	0.36363636363636365
het	0.6666666666666666
het	0.5
het	0.5
het	0.8181818181818182
het	0.5
het	0.36363636363636365
het	0.8
het	0.5833333333333334
het	0.7272727272727273
het	0.7
het	0.2
het	0.4666666666666667
het	0.46153846153846156
het	0.5
het	0.43859649122807015
het	0.5454545454545454
het	0.40816326530612246
het	0.5454545454545454
het	0.7142857142857143
het	0.6363636363636364
het	0.8181818181818182
het	0.4
het	0.21428571428571427
het	0.6153846153846154
het	0.3888888888888889
het	0.5625
het	0.4782608695652174
het	0.4
het	0.3
het	0.45454545454545453
het	0.35714285714285715
het	0.3684210526315789
het	0.4146341463414634
het	0.15789473684210525
het	0.42857142857142855
het	0.2727272727272727
het	0.45454545454545453
het	0.3076923076923077
het	0.4117647058823529
het	0.5416666666666666
het	0.6923076923076923
het	0.5142857142857142
het	0.5416666666666666
het	0.5892857142857143
het	0.7692307692307693
het	0.5625
het	0.5517241379310345
het	0.5625
het	0.4375
het	0.6521739130434783
het	0.39473684210526316
het	0.3333333333333333
het	0.6666666666666666
het	0.3
het	0.5714285714285714
het	0.6515151515151515
het	0.7
het	0.3333333333333333
het	0.6458333333333334
het	0.08333333333333333
het	0.6428571428571429
het	0.43333333333333335
het	0.058823529411764705
het	0.5
het	0.17647058823529413
het	0.5
het	0.6923076923076923
het	0.5
het	0.4166666666666667
het	0.38461538461538464
het	0.7
het	0.38461538461538464
het	0.8181818181818182
het	0.6363636363636364
het	0.6666666666666666
het	0.625
het	0.45454545454545453
het	0.6923076923076923
het	0.3333333333333333
het	0.35714285714285715
het	0.2222222222222222
het	0.35
het	0.5833333333333334
het	0.14285714285714285
het	0.26666666666666666
het	0.4642857142857143
het	0.49056603773584906
het	0.6666666666666666
het	0.6666666666666666
het	0.6842105263157895
het	0.39285714285714285
het	0.2
het	0.23809523809523808
het	0.26666666666666666
het	0.35135135135135137
het	0.5238095238095238
het	0.7142857142857143
het	0.5862068965517241
het	0.55
het	0.9166666666666666
het	0.3548387096774194
het	0.5357142857142857
het	0.23529411764705882
het	0.5483870967741935
het	0.8666666666666667
het	0.3125
het	0.36363636363636365
het	0.8181818181818182
het	0.4666666666666667
het	0.5333333333333333
het	0.5
het	0.7272727272727273
het	0.44
het	0.39473684210526316
het	0.5714285714285714
het	0.9090909090909091
het	0.36363636363636365
het	0.6111111111111112
het	0.5833333333333334
het	0.5
het	0.46153846153846156
het	0.6153846153846154
het	0.3888888888888889
het	0.8
het	0.26666666666666666
het	0.5925925925925926
het	0.3
het	0.6363636363636364
het	0.8125
het	0.4
het	0.5294117647058824
het	0.5789473684210527
het	0.25
het	0.7307692307692307
het	0.4230769230769231
het	0.7857142857142857
het	0.5
het	0.5714285714285714
het	0.6428571428571429
het	0.7272727272727273
het	0.5454545454545454
het	0.6071428571428571
het	0.4074074074074074
het	0.46153846153846156
het	0.5657894736842105
het	0.36363636363636365
het	0.45
het	0.7
het	0.4
het	0.5
het	0.6923076923076923
het	0.3076923076923077
het	0.2
het	0.5384615384615384
het	0.7272727272727273
het	0.625
het	0.6060606060606061
het	0.3684210526315789
het	0.6
het	0.7307692307692307
het	0.5
het	0.3125
het	0.2
het	0.07142857142857142
het	0.7
het	0.5
het	0.8181818181818182
het	0.41379310344827586
het	0.4375
het	0.4
het	0.7096774193548387
het	0.5789473684210527
het	0.4
